id,total_validators,p_active_slots,p_created_blocks,non_empty_block,empty_block,vanilla_blocks,a_active_epochs,a_attested_epochs,a_attested_source,a_attested_target,a_attested_head,inc_distance,sync_rate,block_reward,validation_reward,total_reward,proposal_effectiveness,correctness,attestation_rate,att_effectiveness,effectiveness,partition_date
RockawayX Infra,5751,39,39,39,0,0,1292378,1292207,1291993,1292089.0,1279676,1.0126906184906506,99.6652719785139,3.087888832631449,15.389672153999879,18.477560986631318,1.0,0.996550028964694,0.9998676857699528,0.9839314722792677,0.9899571701745423,2024-01-18
Simply Staking,9428,71,71,71,0,0,2121300,2119916,2118497,2116683.0,2055294,1.02883266391356,96.51772471303072,10.07833872359593,25.01051888600257,35.088857609600595,1.0,0.9884621065698707,0.9993475698863904,0.9601339836624554,0.9750837397890346,2024-01-18
Stakely,10001,68,68,68,0,0,2250225,2250124,2249408,2249443.0,2224111,1.0137430945671557,98.98556629756536,8.92559246256843,26.20911900200277,35.1347114645741,1.0,0.9958947808922811,0.9999551155995512,0.9823495578801797,0.9889684736751123,2024-01-18
Allnodes,8916,67,67,67,0,67,2006100,2006019,2005433,2005998.0,1987726,1.0133298705545488,99.62492722972972,1.0038129373317977,24.179030453002454,25.18284339033426,1.0,0.9968192014356213,0.9999596231493943,0.983666801877806,0.9897917511736287,2024-01-18
ParaFi Technologies LLC,5751,55,55,55,0,0,1292379,1292373,1291972,1292067.0,1279491,1.0129180372011617,99.32957623293177,3.8120508210501103,15.485471788002453,19.297522609050006,1.0,0.9964904515883757,0.9999953573990292,0.9837773528392005,0.9898608455245004,2024-01-18
Gateway.fm AS,500,3,3,3,0,0,112500,111993,112076,112037.0,105946,1.062153271692745,,0.09960850146669689,1.2306173789999986,1.3302258804666955,1.0,0.9779525925925926,0.9954933333333333,0.9165770253575966,0.9478606408484979,2024-01-18
Blockscape,8830,69,69,69,0,2,1986750,1985508,1985653,1986245.0,1961747,1.0163410289437291,99.46650979111116,5.377316787575809,23.509861359002123,28.88717814657967,1.0,0.9955362610628748,0.9993748584371461,0.9789173925240017,0.986823370327501,2024-01-18
Ebunker,6000,52,52,51,0,1,1350000,1349852,1348823,1349509.0,1329209,1.0206622834438028,99.61910761456754,3.8847902080326784,16.208033899002533,20.092824107032552,0.9807692307692307,0.9944545679012345,0.9998903703703703,0.9742160187013711,0.9766734732268185,2024-01-18
Kukis Global,10001,74,74,74,0,0,2250225,2250177,2249432,2249577.0,2226605,1.0133599973335992,99.26658144662032,4.953635579070082,26.788374102003463,31.74200968106911,1.0,0.9962876304962096,0.9999786687997867,0.9831317410463376,0.989457338153961,2024-01-18
Kiln,8809,87,87,87,0,2,1982025,1980585,1981037,1981486.0,1957239,1.0157478964206983,99.20843531223625,8.196773886002376,23.857058875002203,32.053832761006205,1.0,0.995574727866702,0.9992734703144511,0.9794274905991841,0.9871421816244901,2024-01-18
